id,Name,Url,Name,Name
58,Five of Swords,https://www.tarotcardmeanings.net/minorarcana/tarot-swords.htm,Five of Swords,Five of Swords
59,Six of Swords,https://www.tarotcardmeanings.net/minorarcana/tarot-swords.htm,Six of Swords,Six of Swords
60,Seven of Swords,https://www.tarotcardmeanings.net/minorarcana/tarot-swords.htm,Seven of Swords,Seven of Swords
61,Eight of Swords,https://www.tarotcardmeanings.net/minorarcana/tarot-swords.htm,Eight of Swords,Eight of Swords
62,Nine of Swords,https://www.tarotcardmeanings.net/minorarcana/tarot-swords.htm,Nine of Swords,Nine of Swords
63,Ten of Swords,https://www.tarotcardmeanings.net/minorarcana/tarot-swords.htm,Ten of Swords,Ten of Swords
64,King of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,King of Pentacles,King of Pentacles
65,Queen of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Queen of Pentacles,Queen of Pentacles
66,Knight of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Knight of Pentacles,Knight of Pentacles
67,Page of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Page of Pentacles,Page of Pentacles
68,Ace of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Ace of Pentacles,Ace of Pentacles
69,Two of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Two of Pentacles,Two of Pentacles
70,Three of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Three of Pentacles,Three of Pentacles
71,Four of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Four of Pentacles,Four of Pentacles
72,Five of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Five of Pentacles,Five of Pentacles
73,Six of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Six of Pentacles,Six of Pentacles
74,Seven of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Seven of Pentacles,Seven of Pentacles
75,Eight of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Eight of Pentacles,Eight of Pentacles
76,Nine of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Nine of Pentacles,Nine of Pentacles
77,Ten of Pentacles,https://www.tarotcardmeanings.net/minorarcana/tarot-pentacles.htm,Ten of Pentacles,Ten of Pentacles
